id,hostname,ip,sistema_operativo,ram_gb,cpu_cores,disco_gb,departamento,categoria_inventario,año_compra,activo
1,srv-bmtu-0001,10.4.3.196,CentOS 8,8,4,1024,RRHH,Electrónica,2017,True
2,srv-ikve-0002,10.5.218.33,Ubuntu 22.04,64,4,2048,Operaciones,Hogar,2018,True
3,srv-sawy-0003,10.5.20.174,Red Hat 9,64,16,256,RRHH,Hogar,2023,True
4,srv-enzo-0004,10.2.148.23,Windows Server 2022,4,16,2048,IT,Electrónica,2017,True
5,srv-vnos-0005,10.4.61.137,Windows Server 2019,64,4,120,Operaciones,Electrónica,2017,True
6,srv-sipo-0006,10.1.54.229,Ubuntu 20.04,32,1,2048,RRHH,Hogar,2015,True
7,srv-cxqm-0007,10.0.106.196,CentOS 8,2,2,2048,IT,Hogar,2015,True
8,srv-rryw-0008,10.5.79.105,Debian 11,4,16,1024,Logística,Hogar,2021,True
9,srv-pdss-0009,10.3.142.202,CentOS 8,16,1,256,RRHH,Hogar,2020,True
10,srv-wjxm-0010,10.1.234.54,Debian 11,8,16,512,Operaciones,Hogar,2018,True
11,srv-fhmo-0011,10.1.69.223,Debian 11,8,8,512,Operaciones,Hogar,2019,True
12,srv-krnx-0012,10.5.171.222,Red Hat 9,32,16,2048,Ventas,Alimentación,2015,True
13,srv-kwnb-0013,10.4.8.79,Debian 11,64,4,256,IT,Hogar,2020,True
14,srv-vxyc-0014,10.1.8.121,Ubuntu 22.04,32,2,512,Ventas,Electrónica,2020,True
15,srv-rmxe-0015,10.3.118.193,Windows Server 2022,2,4,1024,Ventas,Deportes,2017,True
16,srv-lmcq-0016,10.5.200.14,Windows Server 2019,8,4,512,Marketing,Alimentación,2023,True
17,srv-ebzk-0017,10.5.8.98,Windows Server 2022,32,2,2048,Operaciones,Deportes,2019,True
18,srv-ygun-0018,10.1.8.53,Debian 11,64,4,256,Finanzas,Deportes,2016,True
19,srv-lfoi-0019,10.0.117.77,Ubuntu 22.04,32,16,120,Finanzas,Electrónica,2017,True
20,srv-xgyc-0020,10.3.35.187,Ubuntu 22.04,64,8,2048,Logística,Hogar,2017,True
21,srv-bnjf-0021,10.1.7.8,Red Hat 9,64,4,256,Logística,Electrónica,2015,True
22,srv-dqli-0022,10.1.50.144,Red Hat 9,16,8,512,IT,Alimentación,2020,True
23,srv-uibn-0023,10.5.55.166,Windows Server 2022,16,8,2048,Finanzas,Alimentación,2017,True
24,srv-piau-0024,10.1.43.33,Red Hat 9,2,16,256,RRHH,Alimentación,2024,True
25,srv-llna-0025,10.5.69.123,Red Hat 9,64,1,1024,RRHH,Alimentación,2020,False
26,srv-uyad-0026,10.2.169.58,Ubuntu 22.04,32,4,256,IT,Hogar,2016,True
27,srv-poib-0027,10.3.53.116,CentOS 8,2,1,256,Operaciones,Deportes,2022,False
28,srv-yprn-0028,10.4.82.41,Debian 11,2,16,1024,IT,Electrónica,2020,True
29,srv-euoc-0029,10.2.93.86,Windows Server 2019,2,1,512,Finanzas,Electrónica,2024,False
30,srv-mlzp-0030,10.3.103.237,Ubuntu 22.04,16,16,120,Ventas,Electrónica,2023,True
31,srv-mime-0031,10.2.155.182,Red Hat 9,32,4,2048,Logística,Deportes,2017,True
32,srv-pmca-0032,10.3.205.241,CentOS 8,32,4,256,RRHH,Alimentación,2024,False
33,srv-hhlr-0033,10.2.155.27,Red Hat 9,4,8,2048,Logística,Electrónica,2018,True
34,srv-pomn-0034,10.0.254.81,Debian 11,2,2,1024,Operaciones,Hogar,2017,True
35,srv-pqop-0035,10.5.100.178,Windows Server 2019,16,4,120,Ventas,Hogar,2020,True
36,srv-pbxf-0036,10.3.229.216,Ubuntu 20.04,8,4,2048,Logística,Deportes,2020,True
37,srv-ibwx-0037,10.3.184.183,CentOS 8,16,8,256,RRHH,Electrónica,2015,True
38,srv-qlqq-0038,10.1.37.126,Windows Server 2019,16,4,120,RRHH,Hogar,2017,False
39,srv-vpmu-0039,10.4.163.193,Debian 11,32,1,1024,IT,Deportes,2024,True
40,srv-lbxb-0040,10.4.18.107,Windows Server 2022,4,4,2048,Operaciones,Electrónica,2015,False
41,srv-yany-0041,10.3.149.144,CentOS 8,64,2,512,Ventas,Electrónica,2018,True
42,srv-lfzc-0042,10.0.39.242,Red Hat 9,32,1,256,RRHH,Alimentación,2020,False
43,srv-vxwb-0043,10.5.58.152,Ubuntu 22.04,32,4,120,IT,Electrónica,2016,True
44,srv-yjpu-0044,10.3.241.70,CentOS 8,2,8,1024,Marketing,Deportes,2021,True
45,srv-plpf-0045,10.2.193.191,Ubuntu 20.04,64,8,512,Operaciones,Deportes,2017,True
46,srv-wpny-0046,10.1.209.245,Ubuntu 22.04,32,16,512,Marketing,Electrónica,2016,True
47,srv-crmd-0047,10.5.0.169,Ubuntu 20.04,16,2,2048,Logística,Hogar,2020,True
48,srv-tyuh-0048,10.2.50.93,Debian 11,4,8,120,Ventas,Alimentación,2023,False
49,srv-geah-0049,10.0.134.46,Windows Server 2022,16,4,512,Ventas,Alimentación,2018,False
50,srv-egrc-0050,10.0.249.173,Ubuntu 22.04,8,8,512,Operaciones,Electrónica,2021,False
